GAME_DATE_EST,HOME_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,NICKNAME
2020-01-16,1610612740,2019,138.0,0.5479999999999999,0.7140000000000001,0.423,29.0,45.0,1610612762,132.0,0.46,0.7809999999999999,0.385,23.0,43.0,1,1610612740,Pelicans
2020-01-08,1610612740,2019,123.0,0.471,0.813,0.341,31.0,50.0,1610612741,108.0,0.446,0.5710000000000001,0.4,22.0,39.0,1,1610612740,Pelicans
2020-01-06,1610612740,2019,126.0,0.479,0.8,0.387,23.0,48.0,1610612762,128.0,0.511,0.833,0.485,19.0,43.0,0,1610612740,Pelicans
2019-12-29,1610612740,2019,127.0,0.49,0.6920000000000001,0.409,32.0,47.0,1610612745,112.0,0.519,0.65,0.385,29.0,41.0,1,1610612740,Pelicans
2019-12-28,1610612740,2019,120.0,0.462,0.8,0.429,25.0,49.0,1610612754,98.0,0.3879999999999999,0.897,0.214,17.0,46.0,1,1610612740,Pelicans
2019-12-17,1610612740,2019,101.0,0.346,0.667,0.275,20.0,58.0,1610612751,108.0,0.417,0.7390000000000001,0.282,25.0,54.0,0,1610612740,Pelicans
2019-12-15,1610612740,2019,119.0,0.534,0.5,0.442,34.0,40.0,1610612753,130.0,0.517,0.8079999999999999,0.5,32.0,39.0,0,1610612740,Pelicans
2019-12-09,1610612740,2019,103.0,0.44,0.682,0.211,24.0,45.0,1610612765,105.0,0.424,0.815,0.314,15.0,46.0,0,1610612740,Pelicans
2019-12-05,1610612740,2019,132.0,0.506,0.7709999999999999,0.415,27.0,40.0,1610612756,139.0,0.472,0.926,0.389,30.0,51.0,0,1610612740,Pelicans
2019-12-03,1610612740,2019,97.0,0.4039999999999999,0.667,0.268,20.0,47.0,1610612742,118.0,0.4320000000000001,0.852,0.422,22.0,51.0,0,1610612740,Pelicans
2019-12-01,1610612740,2019,104.0,0.4479999999999999,0.9,0.447,22.0,41.0,1610612760,107.0,0.469,0.769,0.3329999999999999,19.0,47.0,0,1610612740,Pelicans
2019-11-27,1610612740,2019,110.0,0.405,0.833,0.425,20.0,42.0,1610612747,114.0,0.518,0.72,0.3329999999999999,25.0,37.0,0,1610612740,Pelicans
2019-11-19,1610612740,2019,115.0,0.441,0.833,0.361,24.0,53.0,1610612757,104.0,0.435,0.615,0.552,20.0,48.0,1,1610612740,Pelicans
2019-11-17,1610612740,2019,108.0,0.416,0.8,0.391,24.0,48.0,1610612744,100.0,0.407,0.826,0.28,23.0,43.0,1,1610612740,Pelicans
2019-11-14,1610612740,2019,132.0,0.48,0.69,0.529,26.0,51.0,1610612746,127.0,0.5479999999999999,0.774,0.4579999999999999,28.0,37.0,1,1610612740,Pelicans
2019-11-11,1610612740,2019,116.0,0.4320000000000001,0.741,0.311,26.0,46.0,1610612745,122.0,0.518,0.688,0.293,16.0,47.0,0,1610612740,Pelicans
2019-11-08,1610612740,2019,104.0,0.4039999999999999,0.667,0.244,21.0,53.0,1610612761,122.0,0.441,0.875,0.442,27.0,53.0,0,1610612740,Pelicans
2019-10-31,1610612740,2019,122.0,0.532,0.7809999999999999,0.455,30.0,37.0,1610612743,107.0,0.483,0.875,0.2689999999999999,24.0,35.0,1,1610612740,Pelicans
2019-10-28,1610612740,2019,123.0,0.466,0.545,0.319,36.0,41.0,1610612744,134.0,0.49,0.75,0.4,37.0,61.0,0,1610612740,Pelicans
2019-10-25,1610612740,2019,116.0,0.4589999999999999,0.733,0.366,30.0,48.0,1610612742,123.0,0.484,0.731,0.35,23.0,49.0,0,1610612740,Pelicans
2019-10-11,1610612740,2019,128.0,0.517,0.862,0.433,20.0,37.0,1610612762,127.0,0.59,0.667,0.5,37.0,35.0,1,1610612740,Pelicans
2019-04-09,1610612740,2018,103.0,0.444,0.6,0.273,29.0,42.0,1610612744,112.0,0.483,0.667,0.4,25.0,58.0,0,1610612740,Pelicans
2019-04-03,1610612740,2018,109.0,0.471,0.8240000000000001,0.366,25.0,48.0,1610612766,115.0,0.422,0.8440000000000001,0.353,19.0,48.0,0,1610612740,Pelicans
2019-03-31,1610612740,2018,102.0,0.4579999999999999,0.857,0.258,19.0,45.0,1610612747,130.0,0.475,0.8640000000000001,0.395,30.0,46.0,0,1610612740,Pelicans
2019-03-28,1610612740,2018,121.0,0.505,1.0,0.321,27.0,45.0,1610612758,118.0,0.495,0.875,0.435,28.0,44.0,1,1610612740,Pelicans
2019-03-26,1610612740,2018,120.0,0.47,0.75,0.353,28.0,45.0,1610612737,130.0,0.4539999999999999,0.885,0.373,30.0,41.0,0,1610612740,Pelicans
2019-03-24,1610612740,2018,90.0,0.413,0.7,0.25,26.0,44.0,1610612745,113.0,0.488,0.889,0.429,24.0,50.0,0,1610612740,Pelicans
2019-03-16,1610612740,2018,136.0,0.461,0.659,0.5,34.0,57.0,1610612756,138.0,0.51,0.75,0.31,31.0,48.0,0,1610612740,Pelicans
2019-03-15,1610612740,2018,110.0,0.479,0.48,0.267,31.0,45.0,1610612757,122.0,0.4479999999999999,0.813,0.37,26.0,54.0,0,1610612740,Pelicans
2019-03-12,1610612740,2018,113.0,0.43,0.688,0.213,27.0,50.0,1610612749,130.0,0.495,0.857,0.278,27.0,52.0,0,1610612740,Pelicans
2019-03-08,1610612740,2018,104.0,0.41,0.615,0.256,28.0,51.0,1610612761,127.0,0.535,0.889,0.351,31.0,51.0,0,1610612740,Pelicans
2019-03-06,1610612740,2018,104.0,0.461,0.65,0.375,17.0,41.0,1610612762,114.0,0.523,0.636,0.267,31.0,45.0,0,1610612740,Pelicans
2019-02-25,1610612740,2018,110.0,0.423,0.708,0.179,29.0,54.0,1610612755,111.0,0.436,0.684,0.3229999999999999,23.0,58.0,0,1610612740,Pelicans
2019-02-23,1610612740,2018,128.0,0.521,0.813,0.375,31.0,41.0,1610612747,115.0,0.5429999999999999,0.654,0.345,33.0,39.0,1,1610612740,Pelicans
2019-02-14,1610612740,2018,131.0,0.5429999999999999,0.792,0.462,35.0,51.0,1610612760,122.0,0.472,0.923,0.2269999999999999,27.0,48.0,1,1610612740,Pelicans
2019-02-12,1610612740,2018,88.0,0.3829999999999999,0.75,0.345,21.0,42.0,1610612753,118.0,0.442,0.955,0.406,32.0,58.0,0,1610612740,Pelicans
2019-02-08,1610612740,2018,122.0,0.473,0.964,0.3,27.0,45.0,1610612750,117.0,0.505,0.727,0.429,22.0,49.0,1,1610612740,Pelicans
2019-02-04,1610612740,2018,107.0,0.433,0.833,0.237,26.0,55.0,1610612754,109.0,0.451,0.708,0.357,25.0,43.0,0,1610612740,Pelicans
