,game_id,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over
1380,21200148,1610612766,1610612749,102.0,0.439,0.9,0.273,22.0,44.0,98.0,0.473,0.727,0.125,26.0,39.0,2012-11-19,197.5,1
1390,21200147,1610612764,1610612754,89.0,0.356,0.742,0.235,13.0,36.0,96.0,0.486,0.862,0.158,20.0,46.0,2012-11-19,180.5,1
1400,21200156,1610612747,1610612751,95.0,0.479,0.514,0.286,23.0,43.0,90.0,0.415,0.7140000000000001,0.304,24.0,46.0,2012-11-20,207.5,0
1410,21200155,1610612740,1610612752,80.0,0.42,0.667,0.444,16.0,36.0,102.0,0.446,0.737,0.389,19.0,49.0,2012-11-20,186.0,0
1420,21200154,1610612755,1610612761,106.0,0.471,0.895,0.375,25.0,41.0,98.0,0.451,0.69,0.25,28.0,48.0,2012-11-20,183.0,1
1430,21200161,1610612738,1610612759,100.0,0.532,0.882,0.375,21.0,25.0,112.0,0.584,0.737,0.5,26.0,41.0,2012-11-21,193.5,1
1440,21200160,1610612754,1610612740,115.0,0.435,0.7140000000000001,0.556,26.0,49.0,107.0,0.424,0.852,0.6,17.0,48.0,2012-11-21,181.0,1
1450,21200162,1610612737,1610612764,101.0,0.435,0.5710000000000001,0.36,30.0,37.0,100.0,0.4270000000000001,0.708,0.35,20.0,58.0,2012-11-21,185.5,1
1460,21200158,1610612753,1610612765,90.0,0.434,0.722,0.25,24.0,53.0,74.0,0.3289999999999999,0.682,0.176,15.0,48.0,2012-11-21,190.0,0
1470,21200157,1610612766,1610612761,98.0,0.419,0.821,0.158,21.0,37.0,97.0,0.4629999999999999,0.7,0.391,23.0,36.0,2012-11-21,193.5,1
1480,21200159,1610612739,1610612755,92.0,0.407,0.643,0.565,17.0,55.0,83.0,0.36,0.773,0.235,18.0,39.0,2012-11-21,181.5,0
1490,21200163,1610612748,1610612749,113.0,0.477,0.6970000000000001,0.444,25.0,54.0,106.0,0.422,0.75,0.172,18.0,47.0,2012-11-21,203.5,1
1500,21200164,1610612760,1610612746,117.0,0.456,0.872,0.478,20.0,44.0,111.0,0.43,0.727,0.35,19.0,45.0,2012-11-21,198.5,1
1510,21200165,1610612745,1610612741,93.0,0.4320000000000001,0.71,0.368,15.0,45.0,89.0,0.4,0.579,0.125,20.0,48.0,2012-11-21,191.5,0
1520,21200166,1610612750,1610612743,94.0,0.382,0.64,0.357,19.0,45.0,101.0,0.4429999999999999,0.846,0.429,16.0,49.0,2012-11-21,193.0,1
1530,21200167,1610612742,1610612752,114.0,0.494,0.81,0.4479999999999999,22.0,42.0,111.0,0.506,0.818,0.484,25.0,37.0,2012-11-21,193.5,1
1540,21200168,1610612756,1610612757,114.0,0.597,0.833,0.412,22.0,35.0,87.0,0.4029999999999999,0.769,0.263,14.0,32.0,2012-11-21,201.5,0
1550,21200169,1610612758,1610612747,113.0,0.5429999999999999,0.818,0.467,23.0,41.0,97.0,0.446,0.6920000000000001,0.462,16.0,33.0,2012-11-21,204.0,1
1560,21200170,1610612744,1610612751,102.0,0.5329999999999999,0.789,0.467,24.0,43.0,93.0,0.4579999999999999,0.733,0.261,26.0,35.0,2012-11-21,194.5,1
1570,21200171,1610612766,1610612737,91.0,0.373,0.8079999999999999,0.364,17.0,36.0,101.0,0.5379999999999999,0.429,0.5,29.0,41.0,2012-11-23,190.5,1
1580,21200172,1610612753,1610612739,108.0,0.5,0.85,0.524,21.0,36.0,104.0,0.425,0.733,0.308,19.0,38.0,2012-11-23,185.0,1
1590,21200173,1610612738,1610612760,108.0,0.488,0.875,0.529,28.0,36.0,100.0,0.4679999999999999,0.833,0.25,22.0,40.0,2012-11-23,196.5,1
1600,21200174,1610612751,1610612746,86.0,0.466,0.684,0.385,19.0,35.0,76.0,0.4029999999999999,0.636,0.235,15.0,45.0,2012-11-23,194.5,0
1610,21200175,1610612765,1610612761,91.0,0.462,0.5770000000000001,0.308,17.0,46.0,90.0,0.41,0.8,0.3329999999999999,20.0,37.0,2012-11-23,192.0,0
